"","coach","lower","upper","mean_bs"
"1","Kellen Moore",-0.0190212076972432,-0.00107119725847005,-0.00983575141694355
"2","Mike Kafka",-0.0151419950264933,0.00865288279525892,-0.00366003988748867
"3","Aaron Glenn",-0.00680775170733277,0.00928405684169767,0.00140556879490432
"4","Ben Johnson",-0.00546141757036795,0.0187797825990659,0.00620282653433881
"5","Jonathan Gannon",-0.00529822239255697,0.00860511212455848,0.00170869121595291
"6","Brian Callahan",-0.00481028575094724,0.00789654257938248,0.00154059251665283
"7","Brian Daboll",-0.00356921986219182,0.00634577738058605,0.00143828960787661
"8","Matt LaFleur",-0.00336845475399831,0.00467560796104826,0.000627823692745621
"9","Mike Macdonald",-0.00315133218913033,0.0117263880443449,0.00438871422967581
"10","Mike McCoy",-0.0028008354755124,0.00929972871792583,0.00325873412755222
"11","Mike McDaniel",-0.00231730084853577,0.00762004035830231,0.00272360170651826
"12","Sean McVay",-0.00229160009942918,0.00382047378779988,0.000809452327152459
"13","Kevin Stefanski",-0.00173634171348098,0.00638991499187409,0.00229854343624194
"14","Liam Coen",-0.00134775961089121,0.0151849414204555,0.00698680582128164
"15","Mike Tomlin",-0.000956524177837247,0.00398621836082438,0.00151303469719234
"16","Jim Harbaugh",-0.000926388080643222,0.00912918821807321,0.00407054477105617
"17","DeMeco Ryans",-0.000860510478367475,0.00852688327554059,0.00391476103190082
"18","Todd Bowles",-0.000798543211261987,0.00519126297888266,0.00218299783615181
"19","Dan Quinn",-0.000343037042589208,0.00724878882531777,0.00343866540672343
"20","Kevin O'Connell",-0.000310349864722654,0.0100835083666387,0.00494145604526436
"21","Mike Vrabel",-0.000124932120731714,0.00721708090284787,0.00355006864498748
"22","Shane Steichen",-8.09764990835886e-05,0.010958951525203,0.00547795700499436
"23","Zac Taylor",0.000123619176540915,0.00708873002986704,0.0035926886318511
"24","Pete Carroll",0.000126802855516539,0.00659459673762956,0.00336614752669079
"25","Kyle Shanahan",0.000159656497758079,0.00648800151807869,0.00335823027405074
"26","Raheem Morris",0.000542219995080246,0.0165594370961539,0.00851522432289799
"27","John Harbaugh",0.000568188721825336,0.00638550665545168,0.00349398368012023
"28","Dave Canales",0.000936881808241211,0.0159069763540295,0.00833900736576708
"29","Sean McDermott",0.00148224861314357,0.00866547935401921,0.00507759009489012
"30","Nick Sirianni",0.00150218483733351,0.00991976066405075,0.00568813072485604
"31","Sean Payton",0.00177848656192236,0.00770758123130347,0.0047336963897488
"32","Dan Campbell",0.00260904955139055,0.0120569813002056,0.00722550695114558
"33","Brian Schottenheimer",0.00311830791637567,0.0259254578625754,0.0143642283583038
"34","Andy Reid",0.00427146508653167,0.00950801895900501,0.00691745626963163
