"","rank","season","team","score","coach","offense","defense"
"1",1,2024,"DET",8.15354432701765,"Dan Campbell","Ben Johnson","Aaron Glenn"
"2",2,2019,"SF",8.14308920894834,"Kyle Shanahan","","Robert Saleh"
"3",3,2022,"PHI",8.10756317020791,"Nick Sirianni","Shane Steichen","Jonathan Gannon"
"4",4,2018,"NO",7.9964488187465,"Sean Payton","Pete Carmichael","Dennis Allen"
"5",5,2019,"BAL",7.97232861379058,"John Harbaugh","Greg Roman","Don Martindale"
"6",6,2024,"PHI",7.84997170682646,"Nick Sirianni","Kellen Moore","Vic Fangio"
"7",7,2017,"PHI",7.82882826176605,"Doug Pederson","Frank Reich","Jim Schwartz"
"8",8,2024,"BUF",7.80754885986385,"Sean McDermott","Joe Brady","Bobby Babich"
"9",9,2025,"NE",7.80495784713951,"Mike Vrabel","Josh McDaniels","Terrell Williams"
"10",10,2020,"KC",7.74703428963943,"Andy Reid","Eric Bieniemy","Steve Spagnuolo"
"11",11,2021,"TB",7.67140723315579,"Bruce Arians","Byron Leftwich","Todd Bowles"
"12",12,2024,"KC",7.65967315810976,"Andy Reid","Matt Nagy","Steve Spagnuolo"
"13",13,2019,"KC",7.58910100819507,"Andy Reid","Eric Bieniemy","Steve Spagnuolo"
"14",14,2020,"NO",7.47781738617435,"Sean Payton","Pete Carmichael","Dennis Allen"
"15",15,2019,"GB",7.35931909894393,"Matt LaFleur","Nathaniel Hackett","Mike Pettine"
"16",16,2020,"BUF",7.33271646421875,"Sean McDermott","Brian Daboll","Leslie Frazier"
"17",17,2017,"PIT",7.17050668639058,"Mike Tomlin","Todd Haley","Keith Butler"
"18",18,2025,"BUF",7.15791523059703,"Sean McDermott","Joe Brady","Bobby Babich"
"19",19,2017,"MIN",7.11770764011834,"Mike Zimmer","Pat Shurmur","George Edwards"
"20",20,2020,"GB",7.0994275143774,"Matt LaFleur","Nathaniel Hackett","Mike Pettine"
"21",21,2022,"DAL",7.06272392852843,"Mike McCarthy","Kellen Moore","Dan Quinn"
"22",22,2023,"DET",7.03904494908451,"Dan Campbell","Ben Johnson","Aaron Glenn"
"23",23,2022,"SF",7.01566761911732,"Kyle Shanahan","","DeMeco Ryans"
"24",24,2017,"NE",7.005692969582,"Bill Belichick","Josh McDaniels","Matt Patricia"
"25",25,2021,"DAL",6.99974882404995,"Mike McCarthy","Kellen Moore","Dan Quinn"
"26",26,2023,"DAL",6.99046773991394,"Mike McCarthy","Brian Schottenheimer","Dan Quinn"
"27",27,2022,"KC",6.98800677248959,"Andy Reid","Eric Bieniemy","Steve Spagnuolo"
"28",28,2020,"TB",6.9683762660273,"Bruce Arians","Byron Leftwich","Todd Bowles"
"29",29,2021,"KC",6.95248110276427,"Andy Reid","Eric Bieniemy","Steve Spagnuolo"
"30",30,2022,"BUF",6.93839143333477,"Sean McDermott","Ken Dorsey","Leslie Frazier"
"31",31,2018,"KC",6.85835442260222,"Andy Reid","Eric Bieniemy","Bob Sutton"
"32",32,2025,"SEA",6.85686132219915,"Mike Macdonald","Klint Kubiak","Aden Durde"
"33",33,2023,"KC",6.81009807750881,"Andy Reid","Matt Nagy","Steve Spagnuolo"
"34",34,2017,"NO",6.80070961686277,"Sean Payton","Pete Carmichael","Dennis Allen"
"35",35,2025,"HOU",6.79891451185146,"DeMeco Ryans","Nick Caley","Matt Burke"
"36",36,2019,"NO",6.75046343601893,"Sean Payton","Pete Carmichael","Dennis Allen"
"37",37,2018,"NE",6.69381621490673,"Bill Belichick","Josh McDaniels",""
"38",38,2025,"DEN",6.65003998537119,"Sean Payton","Joe Lombardi","Vance Joseph"
"39",39,2023,"SF",6.61053038084426,"Kyle Shanahan","","Steve Wilks"
"40",40,2024,"MIN",6.59064850781709,"Kevin O'Connell","Wes Phillips","Brian Flores"
"41",41,2018,"DAL",6.57881017234738,"Jason Garrett","Scott Linehan","Rod Marinelli"
"42",42,2020,"SEA",6.57774421913585,"Pete Carroll","Brian Schottenheimer","Ken Norton"
"43",43,2017,"CAR",6.46860552907622,"Ron Rivera","Mike Shula","Steve Wilks"
"44",44,2023,"BAL",6.42140016700677,"John Harbaugh","Todd Monken","Mike Macdonald"
"45",45,2025,"JAX",6.39373901603418,"Liam Coen","Grant Udinski","Anthony Campanile"
"46",46,2023,"CLE",6.3895223027933,"Kevin Stefanski","Alex Van Pelt","Jim Schwartz"
"47",47,2021,"GB",6.3495035404375,"Matt LaFleur","Nathaniel Hackett","Joe Barry"
"48",48,2021,"BUF",6.21793843497153,"Sean McDermott","Brian Daboll","Leslie Frazier"
"49",49,2021,"CIN",6.20351846491305,"Zac Taylor","Brian Callahan","Lou Anarumo"
"50",50,2020,"BAL",6.18655363266138,"John Harbaugh","Greg Roman","Don Martindale"
"51",51,2018,"SEA",6.18407432287342,"Pete Carroll","Brian Schottenheimer","Ken Norton"
"52",52,2022,"CIN",6.09398286786121,"Zac Taylor","Brian Callahan","Lou Anarumo"
"53",53,2023,"BUF",6.09302527186026,"Sean McDermott","Joe Brady, Ken Dorsey",""
"54",54,2018,"CHI",6.0509582088665,"Matt Nagy","Mark Helfrich","Vic Fangio"
"55",55,2021,"SF",6.04296313883764,"Kyle Shanahan","Mike McDaniel","DeMeco Ryans"
"56",56,2023,"TB",6.01946013638786,"Todd Bowles","Dave Canales","Larry Foote, Kacy Rodgers"
"57",57,2025,"LAC",5.99841890302378,"Jim Harbaugh","Greg Roman","Jesse Minter"
"58",58,2020,"IND",5.96859982960384,"Frank Reich","Nick Sirianni","Matt Eberflus"
"59",59,2020,"TEN",5.9376589462285,"Mike Vrabel","Arthur Smith",""
"60",60,2024,"BAL",5.91770664195048,"John Harbaugh","Todd Monken","Zach Orr"
"61",61,2019,"HOU",5.8652398043073,"Bill O'Brien","Tim Kelly","Romeo Crennel"
"62",62,2020,"PIT",5.83116262168193,"Mike Tomlin","Randy Fichtner","Keith Butler"
"63",63,2025,"CHI",5.79432035906455,"Ben Johnson","Declan Doyle","Dennis Allen"
"64",64,2018,"LAC",5.7782361289886,"Anthony Lynn","Ken Whisenhunt","Gus Bradley"
"65",65,2019,"SEA",5.77715377918891,"Pete Carroll","Brian Schottenheimer","Ken Norton"
"66",66,2024,"LAC",5.77443338961468,"Jim Harbaugh","Greg Roman","Jesse Minter"
"67",67,2019,"NE",5.77192391865254,"Bill Belichick","Josh McDaniels",""
"68",68,2025,"SF",5.74552564332269,"Kyle Shanahan","Klay Kubiak","Robert Saleh"
"69",69,2018,"PIT",5.72992850383785,"Mike Tomlin","Randy Fichtner","Keith Butler"
"70",70,2021,"TEN",5.72685733336646,"Mike Vrabel","Todd Downing","Shane Bowen"
"71",71,2023,"HOU",5.697519601989,"DeMeco Ryans","Bobby Slowik","Matt Burke"
"72",72,2023,"PHI",5.66174248641382,"Nick Sirianni","Brian Johnson","Sean Desai"
"73",73,2024,"TB",5.65461463328628,"Todd Bowles","Liam Coen","Larry Foote, Kacy Rodgers"
"74",74,2023,"MIA",5.62129500207895,"Mike McDaniel","Frank Smith","Vic Fangio"
"75",75,2020,"CLE",5.54788733352104,"Kevin Stefanski","Alex Van Pelt","Joe Woods"
"76",76,2022,"MIA",5.53641591436639,"Mike McDaniel","Frank Smith","Josh Boyer"
"77",77,2017,"JAX",5.5341215508357,"Doug Marrone","Nathaniel Hackett","Todd Wash"
"78",78,2019,"MIN",5.51127592612327,"Mike Zimmer","Kevin Stefanski","George Edwards"
"79",79,2022,"BAL",5.5070500456484,"John Harbaugh","Greg Roman","Mike Macdonald"
"80",80,2021,"ARI",5.46934411116732,"Kliff Kingsbury","","Vance Joseph"
"81",81,2017,"KC",5.41109065165649,"Andy Reid","Matt Nagy","Bob Sutton"
"82",82,2024,"SEA",5.40123293194887,"Mike Macdonald","Ryan Grubb","Aden Durde"
"83",83,2024,"GB",5.38629138830416,"Matt LaFleur","Adam Stenavich","Jeff Hafley"
"84",84,2017,"ATL",5.35454264245033,"Dan Quinn","Steve Sarkisian","Marquand Manuel"
"85",85,2019,"TEN",5.34124447905949,"Mike Vrabel","Arthur Smith","Dean Pees"
"86",86,2021,"PIT",5.27908532045195,"Mike Tomlin","Matt Canada","Keith Butler"
"87",87,2022,"JAX",5.27901199883459,"Doug Pederson","Press Taylor","Mike Caldwell"
"88",88,2020,"MIA",5.26690811097947,"Brian Flores","Chan Gailey","Josh Boyer"
"89",89,2022,"DET",5.2504921146812,"Dan Campbell","Ben Johnson","Aaron Glenn"
"90",90,2018,"PHI",5.1713344539864,"Doug Pederson","Mike Groh","Jim Schwartz"
"91",91,2021,"LV",5.14884288033553,"Jon Gruden","Greg Olson","Gus Bradley"
"92",92,2021,"LV",5.14884288033553,"Rich Bisaccia","Greg Olson","Gus Bradley"
"93",93,2018,"IND",5.13910890772903,"Frank Reich","Nick Sirianni","Matt Eberflus"
"94",94,2017,"TEN",5.10811959122951,"Mike Mularkey","Terry Robiskie","Dick LeBeau"
"95",95,2020,"LV",5.10310165096499,"Jon Gruden","Greg Olson","Paul Guenther, Rod Marinelli"
"96",96,2019,"PHI",5.09339988488983,"Doug Pederson","Mike Groh","Jim Schwartz"
"97",97,2018,"BAL",5.09321608948788,"John Harbaugh","Marty Mornhinweg","Don Martindale"
"98",98,2024,"DEN",5.08806741304721,"Sean Payton","Joe Lombardi","Vance Joseph"
"99",99,2017,"DAL",5.07172336998014,"Jason Garrett","Scott Linehan","Rod Marinelli"
"100",100,2024,"HOU",5.04509946740631,"DeMeco Ryans","Bobby Slowik","Matt Burke"
"101",101,2022,"LAC",5.04500786012194,"Brandon Staley","Joe Lombardi","Renaldo Hill"
"102",102,2018,"HOU",5.01275026856639,"Bill O'Brien","","Romeo Crennel"
"103",103,2022,"MIN",5.00457272847969,"Kevin O'Connell","Wes Phillips","Ed Donatell"
"104",104,2017,"DET",4.9668882068431,"Jim Caldwell","Jim Bob Cooter","Teryl Austin"
"105",105,2025,"PHI",4.92508651842682,"Nick Sirianni","Kevin Patullo","Vic Fangio"
"106",106,2025,"PIT",4.92149884187641,"Mike Tomlin","Arthur Smith","Teryl Austin"
"107",107,2024,"PIT",4.88047786819963,"Mike Tomlin","Arthur Smith","Teryl Austin"
"108",108,2022,"SEA",4.87823155782233,"Pete Carroll","Shane Waldron","Clint Hurtt"
"109",109,2019,"BUF",4.85479178760893,"Sean McDermott","Brian Daboll","Leslie Frazier"
"110",110,2021,"NE",4.81781193333202,"Bill Belichick","Josh McDaniels",""
"111",111,2022,"TB",4.81012438347027,"Todd Bowles","Byron Leftwich","Larry Foote, Kacy Rodgers"
"112",112,2025,"CAR",4.80879361104178,"Dave Canales","Brad Idzik","Ejiro Evero"
"113",113,2025,"DET",4.79559681532577,"Dan Campbell","John Morton","Kelvin Sheppard"
"114",114,2025,"DAL",4.79319708715895,"Brian Schottenheimer","Klayton Adams","Matt Eberflus"
"115",115,2023,"PIT",4.78301046055497,"Mike Tomlin","Matt Canada, Eddie Faulkner","Teryl Austin"
"116",116,2022,"NYG",4.75811327673187,"Brian Daboll","Mike Kafka","Don Martindale"
"117",117,2025,"GB",4.68607655190961,"Matt LaFleur","Adam Stenavich","Jeff Hafley"
"118",118,2017,"BUF",4.68450948701224,"Sean McDermott","Rick Dennison","Leslie Frazier"
"119",119,2022,"PIT",4.66184669249835,"Mike Tomlin","Matt Canada","Teryl Austin"
"120",120,2025,"MIN",4.65152335947989,"Kevin O'Connell","Wes Phillips","Brian Flores"
"121",121,2023,"GB",4.58983020927106,"Matt LaFleur","Adam Stenavich","Joe Barry"
"122",122,2021,"LAC",4.58181962613515,"Brandon Staley","Joe Lombardi","Renaldo Hill"
"123",123,2025,"ATL",4.48012964201174,"Raheem Morris","Zac Robinson","Jeff Ulbrich"
"124",124,2021,"MIA",4.39236022675907,"Brian Flores","George Godsey, Eric Studesville","Josh Boyer"
"125",125,2017,"SEA",4.39163780434455,"Pete Carroll","Darrell Bevell","Kris Richard"
"126",126,2024,"MIA",4.3597469395556,"Mike McDaniel","Frank Smith","Anthony Weaver"
"127",127,2021,"PHI",4.34631899386067,"Nick Sirianni","Shane Steichen","Jonathan Gannon"
"128",128,2019,"CHI",4.25033626072573,"Matt Nagy","Mark Helfrich","Chuck Pagano"
"129",129,2017,"BAL",4.2118485973523,"John Harbaugh","Marty Mornhinweg","Dean Pees"
"130",130,2020,"CHI",4.20436691330101,"Matt Nagy","Bill Lazor","Chuck Pagano"
"131",131,2023,"LV",4.18793593685063,"Antonio Pierce","Bo Hardegree, Mick Lombardi","Patrick Graham"
"132",132,2023,"LV",4.18793593685063,"Josh McDaniels","Bo Hardegree, Mick Lombardi","Patrick Graham"
"133",133,2023,"JAX",4.17108643953693,"Doug Pederson","Press Taylor","Mike Caldwell"
"134",134,2025,"IND",4.16818073027878,"Shane Steichen","Jim Bob Cooter","Lou Anarumo"
"135",135,2024,"IND",4.15341680738186,"Shane Steichen","Jim Bob Cooter","Gus Bradley"
"136",136,2018,"MIN",4.13206309487795,"Mike Zimmer","John DeFilippo","George Edwards"
"137",137,2024,"ARI",4.13012797198911,"Jonathan Gannon","Drew Petzing","Nick Rallis"
"138",138,2021,"NO",4.11823608071197,"Sean Payton","Pete Carmichael","Dennis Allen"
"139",139,2018,"TEN",4.10209142917182,"Mike Vrabel","Matt LaFleur","Dean Pees"
"140",140,2019,"TB",4.10082893469208,"Bruce Arians","Byron Leftwich","Todd Bowles"
