"","season","team","coach","offense","defense","one_score_wins","one_score_losses","close_win_pct","close_win_percentile"
"1",2015,"ARI","Bruce Arians","Harold Goodwin","James Bettcher",5,1,0.833333333333333,0.970588235294118
"2",2016,"ARI","Bruce Arians","Harold Goodwin","James Bettcher",3,5,0.375,0.352941176470588
"3",2017,"ARI","Bruce Arians","Harold Goodwin","James Bettcher",6,2,0.75,0.875
"4",2018,"ARI","Steve Wilks","Byron Leftwich, Mike McCoy","Al Holcomb",2,4,0.333333333333333,0.121212121212121
"5",2019,"ARI","Kliff Kingsbury","","Vance Joseph",3,5,0.375,0.303030303030303
"6",2020,"ARI","Kliff Kingsbury","","Vance Joseph",4,5,0.444444444444444,0.470588235294118
"7",2021,"ARI","Kliff Kingsbury","","Vance Joseph",3,4,0.428571428571429,0.333333333333333
"8",2022,"ARI","Kliff Kingsbury","","Vance Joseph",2,6,0.25,0.0294117647058824
"9",2023,"ARI","Jonathan Gannon","Drew Petzing","Nick Rallis",2,5,0.285714285714286,0.176470588235294
"10",2024,"ARI","Jonathan Gannon","Drew Petzing","Nick Rallis",3,5,0.375,0.382352941176471
"11",2025,"ARI","Jonathan Gannon","Drew Petzing","Nick Rallis",2,8,0.2,0.0909090909090909
"12",2015,"ATL","Dan Quinn","Kyle Shanahan","Richard Smith",6,5,0.545454545454545,0.529411764705882
"13",2016,"ATL","Dan Quinn","Kyle Shanahan","Richard Smith",4,4,0.5,0.5
"14",2017,"ATL","Dan Quinn","Steve Sarkisian","Marquand Manuel",6,4,0.6,0.6875
"15",2018,"ATL","Dan Quinn","Steve Sarkisian","Marquand Manuel",4,4,0.5,0.424242424242424
"16",2019,"ATL","Dan Quinn","Dirk Koetter","",3,4,0.428571428571429,0.363636363636364
"17",2020,"ATL","Raheem Morris","Dirk Koetter","Jeff Ulbrich",2,8,0.2,0.0294117647058824
"18",2020,"ATL","Dan Quinn","Dirk Koetter","Raheem Morris, Jeff Ulbrich",2,8,0.2,0.0294117647058824
