"","season","team","coach","offense","defense","div_wins","division_win_pct","division_win_percentile"
"1",2015,"ARI","Bruce Arians","Harold Goodwin","James Bettcher",4,0.666666666666667,0.64945652173913
"2",2016,"ARI","Bruce Arians","Harold Goodwin","James Bettcher",4,0.666666666666667,0.64945652173913
"3",2017,"ARI","Bruce Arians","Harold Goodwin","James Bettcher",3,0.5,0.407608695652174
"4",2018,"ARI","Steve Wilks","Byron Leftwich, Mike McCoy","Al Holcomb",2,0.333333333333333,0.222826086956522
"5",2019,"ARI","Kliff Kingsbury","","Vance Joseph",1,0.166666666666667,0.0516304347826087
"6",2020,"ARI","Kliff Kingsbury","","Vance Joseph",2,0.333333333333333,0.222826086956522
"7",2021,"ARI","Kliff Kingsbury","","Vance Joseph",4,0.666666666666667,0.64945652173913
"8",2022,"ARI","Kliff Kingsbury","","Vance Joseph",1,0.166666666666667,0.0516304347826087
"9",2023,"ARI","Jonathan Gannon","Drew Petzing","Nick Rallis",0,0,0
"10",2024,"ARI","Jonathan Gannon","Drew Petzing","Nick Rallis",3,0.5,0.407608695652174
"11",2025,"ARI","Jonathan Gannon","Drew Petzing","Nick Rallis",0,0,0
"12",2015,"ATL","Dan Quinn","Kyle Shanahan","Richard Smith",1,0.166666666666667,0.0516304347826087
"13",2016,"ATL","Dan Quinn","Kyle Shanahan","Richard Smith",5,0.833333333333333,0.875
"14",2017,"ATL","Dan Quinn","Steve Sarkisian","Marquand Manuel",4,0.666666666666667,0.64945652173913
"15",2018,"ATL","Dan Quinn","Steve Sarkisian","Marquand Manuel",4,0.666666666666667,0.64945652173913
"16",2019,"ATL","Dan Quinn","Dirk Koetter","",4,0.666666666666667,0.64945652173913
"17",2020,"ATL","Raheem Morris","Dirk Koetter","Jeff Ulbrich",1,0.166666666666667,0.0516304347826087
"18",2020,"ATL","Dan Quinn","Dirk Koetter","Raheem Morris, Jeff Ulbrich",1,0.166666666666667,0.0516304347826087
"19",2021,"ATL","Arthur Smith","Dave Ragone","Dean Pees",2,0.333333333333333,0.222826086956522
"20",2022,"ATL","Arthur Smith","Dave Ragone","Dean Pees",2,0.333333333333333,0.222826086956522
"21",2023,"ATL","Arthur Smith","Dave Ragone","Ryan Nielsen",3,0.5,0.407608695652174
"22",2024,"ATL","Raheem Morris","Zac Robinson","Jimmy Lake",4,0.666666666666667,0.64945652173913
"23",2025,"ATL","Raheem Morris","Zac Robinson","Jeff Ulbrich",3,0.5,0.407608695652174
"24",2015,"BAL","John Harbaugh","Marc Trestman","Dean Pees",3,0.5,0.407608695652174
"25",2016,"BAL","John Harbaugh","Marty Mornhinweg, Marc Trestman","Dean Pees",4,0.666666666666667,0.64945652173913
"26",2017,"BAL","John Harbaugh","Marty Mornhinweg","Dean Pees",3,0.5,0.407608695652174
"27",2018,"BAL","John Harbaugh","Marty Mornhinweg","Don Martindale",3,0.5,0.407608695652174
"28",2019,"BAL","John Harbaugh","Greg Roman","Don Martindale",5,0.833333333333333,0.875
"29",2020,"BAL","John Harbaugh","Greg Roman","Don Martindale",4,0.666666666666667,0.64945652173913
"30",2021,"BAL","John Harbaugh","Greg Roman","Don Martindale",1,0.166666666666667,0.0516304347826087
"31",2022,"BAL","John Harbaugh","Greg Roman","Mike Macdonald",3,0.5,0.407608695652174
"32",2023,"BAL","John Harbaugh","Todd Monken","Mike Macdonald",3,0.5,0.407608695652174
"33",2024,"BAL","John Harbaugh","Todd Monken","Zach Orr",4,0.666666666666667,0.64945652173913
"34",2025,"BAL","John Harbaugh","Todd Monken","Zach Orr",3,0.5,0.407608695652174
"35",2015,"BUF","Rex Ryan","Greg Roman","Dennis Thurman",4,0.666666666666667,0.64945652173913
"36",2016,"BUF","Anthony Lynn","Greg Roman","Dennis Thurman",1,0.166666666666667,0.0516304347826087
"37",2016,"BUF","Rex Ryan","Anthony Lynn, Greg Roman","Dennis Thurman",1,0.166666666666667,0.0516304347826087
"38",2017,"BUF","Sean McDermott","Rick Dennison","Leslie Frazier",3,0.5,0.407608695652174
"39",2018,"BUF","Sean McDermott","Brian Daboll","Leslie Frazier",2,0.333333333333333,0.222826086956522
"40",2019,"BUF","Sean McDermott","Brian Daboll","Leslie Frazier",3,0.5,0.407608695652174
"41",2020,"BUF","Sean McDermott","Brian Daboll","Leslie Frazier",6,1,1
"42",2021,"BUF","Sean McDermott","Brian Daboll","Leslie Frazier",5,0.833333333333333,0.875
"43",2022,"BUF","Sean McDermott","Ken Dorsey","Leslie Frazier",4,0.666666666666667,0.64945652173913
"44",2023,"BUF","Sean McDermott","Joe Brady, Ken Dorsey","",4,0.666666666666667,0.64945652173913
"45",2024,"BUF","Sean McDermott","Joe Brady","Bobby Babich",5,0.833333333333333,0.875
"46",2025,"BUF","Sean McDermott","Joe Brady","Bobby Babich",4,0.666666666666667,0.64945652173913
"47",2015,"CAR","Ron Rivera","Mike Shula","Sean McDermott",5,0.833333333333333,0.875
"48",2016,"CAR","Ron Rivera","Mike Shula","Sean McDermott",1,0.166666666666667,0.0516304347826087
"49",2017,"CAR","Ron Rivera","Mike Shula","Steve Wilks",3,0.5,0.407608695652174
"50",2018,"CAR","Ron Rivera","Norv Turner","Eric Washington",2,0.333333333333333,0.222826086956522
"51",2019,"CAR","Perry Fewell","Norv Turner, Scott Turner","Eric Washington",1,0.166666666666667,0.0516304347826087
"52",2019,"CAR","Ron Rivera","Norv Turner, Scott Turner","Eric Washington",1,0.166666666666667,0.0516304347826087
"53",2020,"CAR","Matt Rhule","Joe Brady","Phil Snow",1,0.166666666666667,0.0516304347826087
"54",2021,"CAR","Matt Rhule","Joe Brady, Jeff Nixon","Phil Snow",2,0.333333333333333,0.222826086956522
"55",2022,"CAR","Steve Wilks","Ben McAdoo","Al Holcomb, Phil Snow",4,0.666666666666667,0.64945652173913
"56",2022,"CAR","Matt Rhule","Ben McAdoo","Al Holcomb, Phil Snow",4,0.666666666666667,0.64945652173913
"57",2023,"CAR","Chris Tabor","Thomas Brown","Ejiro Evero",1,0.166666666666667,0.0516304347826087
"58",2023,"CAR","Frank Reich","Thomas Brown","Ejiro Evero",1,0.166666666666667,0.0516304347826087
"59",2024,"CAR","Dave Canales","Brad Idzik","Ejiro Evero",2,0.333333333333333,0.222826086956522
"60",2025,"CAR","Dave Canales","Brad Idzik","Ejiro Evero",3,0.5,0.407608695652174
"61",2015,"CHI","John Fox","Adam Gase","Vic Fangio",1,0.166666666666667,0.0516304347826087
"62",2016,"CHI","John Fox","Dowell Loggains","Vic Fangio",2,0.333333333333333,0.222826086956522
"63",2017,"CHI","John Fox","Dowell Loggains","Vic Fangio",0,0,0
"64",2018,"CHI","Matt Nagy","Mark Helfrich","Vic Fangio",5,0.833333333333333,0.875
"65",2019,"CHI","Matt Nagy","Mark Helfrich","Chuck Pagano",4,0.666666666666667,0.64945652173913
"66",2020,"CHI","Matt Nagy","Bill Lazor","Chuck Pagano",2,0.333333333333333,0.222826086956522
"67",2021,"CHI","Matt Nagy","Bill Lazor","Sean Desai",2,0.333333333333333,0.222826086956522
"68",2022,"CHI","Matt Eberflus","Luke Getsy","Alan Williams",0,0,0
"69",2023,"CHI","Matt Eberflus","Luke Getsy","Alan Williams",2,0.333333333333333,0.222826086956522
"70",2024,"CHI","Thomas Brown","Chris Beatty, Shane Waldron","Eric Washington",1,0.166666666666667,0.0516304347826087
"71",2024,"CHI","Matt Eberflus","Chris Beatty, Thomas Brown, Shane Waldron","Eric Washington",1,0.166666666666667,0.0516304347826087
"72",2025,"CHI","Ben Johnson","Declan Doyle","Dennis Allen",2,0.333333333333333,0.222826086956522
"73",2015,"CIN","Marvin Lewis","Hue Jackson","Paul Guenther",5,0.833333333333333,0.875
"74",2016,"CIN","Marvin Lewis","Ken Zampese","Paul Guenther",3,0.5,0.407608695652174
"75",2017,"CIN","Marvin Lewis","Bill Lazor, Ken Zampese","Paul Guenther",3,0.5,0.407608695652174
"76",2018,"CIN","Marvin Lewis","Bill Lazor","Teryl Austin",1,0.166666666666667,0.0516304347826087
"77",2019,"CIN","Zac Taylor","Brian Callahan","Lou Anarumo",1,0.166666666666667,0.0516304347826087
"78",2020,"CIN","Zac Taylor","Brian Callahan","Lou Anarumo",1,0.166666666666667,0.0516304347826087
"79",2021,"CIN","Zac Taylor","Brian Callahan","Lou Anarumo",4,0.666666666666667,0.64945652173913
"80",2022,"CIN","Zac Taylor","Brian Callahan","Lou Anarumo",3,0.5,0.407608695652174
"81",2023,"CIN","Zac Taylor","Brian Callahan","Lou Anarumo",1,0.166666666666667,0.0516304347826087
"82",2024,"CIN","Zac Taylor","Dan Pitcher","Lou Anarumo",3,0.5,0.407608695652174
"83",2025,"CIN","Zac Taylor","Dan Pitcher","Al Golden",3,0.5,0.407608695652174
"84",2015,"CLE","Mike Pettine","John DeFilippo","Jim O'Neil",1,0.166666666666667,0.0516304347826087
"85",2016,"CLE","Hue Jackson","","Ray Horton",0,0,0
"86",2017,"CLE","Hue Jackson","","Gregg Williams",0,0,0
"87",2018,"CLE","Gregg Williams","Todd Haley, Freddie Kitchens","",3,0.5,0.407608695652174
"88",2018,"CLE","Hue Jackson","Todd Haley, Freddie Kitchens","Gregg Williams",3,0.5,0.407608695652174
"89",2019,"CLE","Freddie Kitchens","Todd Monken","Steve Wilks",3,0.5,0.407608695652174
"90",2020,"CLE","Kevin Stefanski","Alex Van Pelt","Joe Woods",3,0.5,0.407608695652174
"91",2021,"CLE","Kevin Stefanski","Alex Van Pelt","Joe Woods",3,0.5,0.407608695652174
"92",2022,"CLE","Kevin Stefanski","Alex Van Pelt","Joe Woods",3,0.5,0.407608695652174
"93",2023,"CLE","Kevin Stefanski","Alex Van Pelt","Jim Schwartz",3,0.5,0.407608695652174
"94",2024,"CLE","Kevin Stefanski","Ken Dorsey","Jim Schwartz",2,0.333333333333333,0.222826086956522
"95",2025,"CLE","Kevin Stefanski","Tommy Rees","Jim Schwartz",2,0.333333333333333,0.222826086956522
"96",2015,"DAL","Jason Garrett","Scott Linehan","Rod Marinelli",3,0.5,0.407608695652174
"97",2016,"DAL","Jason Garrett","Scott Linehan","Rod Marinelli",3,0.5,0.407608695652174
"98",2017,"DAL","Jason Garrett","Scott Linehan","Rod Marinelli",5,0.833333333333333,0.875
"99",2018,"DAL","Jason Garrett","Scott Linehan","Rod Marinelli",5,0.833333333333333,0.875
"100",2019,"DAL","Jason Garrett","Kellen Moore","Rod Marinelli",5,0.833333333333333,0.875
"101",2020,"DAL","Mike McCarthy","Kellen Moore","Mike Nolan",2,0.333333333333333,0.222826086956522
"102",2021,"DAL","Mike McCarthy","Kellen Moore","Dan Quinn",6,1,1
"103",2022,"DAL","Mike McCarthy","Kellen Moore","Dan Quinn",4,0.666666666666667,0.64945652173913
"104",2023,"DAL","Mike McCarthy","Brian Schottenheimer","Dan Quinn",5,0.833333333333333,0.875
"105",2024,"DAL","Mike McCarthy","Brian Schottenheimer","Mike Zimmer",3,0.5,0.407608695652174
"106",2025,"DAL","Brian Schottenheimer","Klayton Adams","Matt Eberflus",4,0.666666666666667,0.64945652173913
"107",2015,"DEN","Gary Kubiak","Rick Dennison","Wade Phillips",4,0.666666666666667,0.64945652173913
"108",2016,"DEN","Gary Kubiak","Rick Dennison","Wade Phillips",2,0.333333333333333,0.222826086956522
"109",2017,"DEN","Vance Joseph","Mike McCoy, Bill Musgrave","Joe Woods",2,0.333333333333333,0.222826086956522
"110",2018,"DEN","Vance Joseph","Bill Musgrave","Joe Woods",2,0.333333333333333,0.222826086956522
"111",2019,"DEN","Vic Fangio","Rich Scangarello","Ed Donatell",3,0.5,0.407608695652174
"112",2020,"DEN","Vic Fangio","Pat Shurmur","Ed Donatell",1,0.166666666666667,0.0516304347826087
"113",2021,"DEN","Vic Fangio","Pat Shurmur","Ed Donatell",1,0.166666666666667,0.0516304347826087
"114",2022,"DEN","Jerry Rosburg","Justin Outten","Ejiro Evero",1,0.166666666666667,0.0516304347826087
"115",2022,"DEN","Nathaniel Hackett","Justin Outten","Ejiro Evero",1,0.166666666666667,0.0516304347826087
"116",2023,"DEN","Sean Payton","Joe Lombardi","Vance Joseph",3,0.5,0.407608695652174
"117",2024,"DEN","Sean Payton","Joe Lombardi","Vance Joseph",3,0.5,0.407608695652174
"118",2025,"DEN","Sean Payton","Joe Lombardi","Vance Joseph",5,0.833333333333333,0.875
"119",2015,"DET","Jim Caldwell","Jim Bob Cooter, Joe Lombardi","Teryl Austin",3,0.5,0.407608695652174
