"","nfl_id","player_idx","apm","apm_sd","apm_per_play","full_name","team","position"
"1","00-0030061",53,0.031958420754384,0.0231752758756466,0.00290531097767127,"Zach Ertz","WAS","TE"
"2","00-0037261",1293,0.0255499359631128,0.0227357949218821,0.00232272145119207,"Khalil Shakir","BUF","WR"
"3","00-0035676",758,0.0241484056130011,0.0240523364864783,0.00219530960118192,"A.J. Brown","PHI","WR"
"4","00-0038133",1533,0.0234963876616848,0.0231021179694024,0.00213603524197134,"Boye Mafe","SEA","LB"
"5","00-0038386",1545,0.0234213019850234,0.0229789439658155,0.00212920927136576,"Jalen Carter","PHI","DL"
"6","00-0035763",789,0.0231377570268333,0.0223232028290012,0.00210343245698485,"Malcolm Roach","DEN","DL"
"7","00-0033375",291,0.0231164906084273,0.0231973404090068,0.00210149914622066,"Tim Patrick","DET","WR"
"8","00-0034753",536,0.023084122318621,0.0228498124057505,0.00209855657442009,"Mark Andrews","BAL","TE"
"9","00-0039139",1839,0.0223978922866366,0.0230491427541263,0.00203617202605787,"Jahmyr Gibbs","DET","RB"
"10","00-0036954",1164,0.0217708624415253,0.022212115208494,0.00197916931286593,"Levi Onwuzurike","DET","DL"
"11","00-0030757",75,0.0214400996716895,0.0234502707562426,0.00194909997015359,"Mike Pennel","KC","DL"
"12","00-0035166",643,0.0211510183943574,0.0226901835224515,0.00192281985403249,"Azeez Al-Shaair","HOU","LB"
"13","00-0036416",983,0.0210798195433107,0.0230011835904602,0.00191634723121007,"Kristian Fulton","LAC","DB"
"14","00-0038976",1770,0.0210386659754538,0.0239470232904376,0.00191260599776853,"Marvin Mims Jr.","DEN","WR"
"15","00-0035112",627,0.0205615305663207,0.0223964468303613,0.0018692300514837,"Patrick Mekari","BAL","OL"
"16","00-0034829",571,0.0203861130481871,0.0236898099009732,0.00185328300438065,"Mike Gesicki","CIN","TE"
"17","00-0039009",1791,0.0203235433616637,0.0236142132165204,0.00184759485106034,"Dylan Horton","HOU","DL"
"18","00-0035689",768,0.0202972688552076,0.0223448598328619,0.00184520625956432,"Dawson Knox","BUF","TE"
"19","00-0033904",378,0.019699376494693,0.0231093300913163,0.00179085240860845,"Dion Dawkins","BUF","OL"
"20","00-0036410",978,0.0196196035671838,0.0242209078718667,0.00178360032428944,"Tee Higgins","CIN","WR"
"21","00-0036629",1048,0.0193849319567702,0.0233610470926688,0.00176226654152456,"Camryn Bynum","MIN","DB"
"22","00-0035692",769,0.0192935201427876,0.0231371858724921,0.00175395637661705,"Clelin Ferrell","WAS","DL"
"23","00-0030506",68,0.0192211489809978,0.0222000943188779,0.00174737718009071,"Travis Kelce","KC","TE"
"24","00-0034285",443,0.0190498659317926,0.0225303035615539,0.00173180599379933,"Zach Sieler","MIA","DL"
"25","00-0034796",555,0.0188481659925692,0.023069879998239,0.00171346963568811,"Lamar Jackson","BAL","QB"
"26","00-0035537",719,0.018212269673795,0.0220669225749054,0.00165566087943591,"Ty Johnson","BUF","RB"
"27","00-0032965",232,0.0181944726609781,0.0227156475031287,0.00165404296917983,"Ronnie Stanley","BAL","OL"
"28","00-0035525",716,0.0179816465518756,0.0230627180204212,0.0016346951410796,"Devin Bush","CLE","LB"
"29","00-0037838",1482,0.0179163747471067,0.0226148989411578,0.00162876134064606,"Isaiah Likely","BAL","TE"
"30","00-0033858",348,0.017856641989895,0.0225639227083021,0.00162333108999045,"Jonnu Smith","MIA","TE"
"31","00-0035253",672,0.0177380365080298,0.0232112066710806,0.00161254877345725,"C.J. Gardner-Johnson","PHI","DB"
"32","00-0032401",187,0.0177080644556498,0.0238437641815509,0.00160982404142271,"De'Vondre Campbell","SF","LB"
"33","00-0036901",1125,0.0176519603777516,0.0225019473340113,0.00160472367070469,"Eric Stokes","GB","DB"
"34","00-0036244",876,0.0176315814973115,0.0238226449676605,0.00160287104521014,"Colby Parkinson","LA","TE"
"35","00-0034203",427,0.0173397498781529,0.0226903796586838,0.0015763408980139,"Darious Williams","LA","DB"
"36","00-0031408",104,0.0172216150086026,0.0224657104187949,0.00156560136441842,"Mike Evans","TB","WR"
"37","00-0035227",651,0.0171180954243499,0.0236018487337226,0.00155619049312272,"P.J. Locke","DEN","DB"
"38","00-0037007",1206,0.0171161808727948,0.0229619047128153,0.00155601644298135,"Patrick Jones II","MIN","LB"
"39","00-0035679",760,0.0169861796895976,0.0228864647755275,0.00154419815359978,"Connor McGovern","BUF","OL"
"40","00-0034857",584,0.016968020472362,0.0228693146660687,0.00154254731566927,"Josh Allen","BUF","QB"
"41","00-0026190",7,0.0169677184615307,0.0230163269021993,0.00154251986013915,"Calais Campbell","MIA","DL"
"42","00-0029592",40,0.0167822472980916,0.0225205117439723,0.00152565884528106,"Kevin Zeitler","DET","OL"
"43","00-0033955",402,0.0166987313119779,0.0231860787637162,0.00151806648290708,"Jeremy McNichols","WAS","RB"
"44","00-0027969",23,0.0166441698109538,0.022969093609169,0.00151310634645034,"Cameron Heyward","PIT","DL"
"45","00-0033555",317,0.0164326259811453,0.0221558025158137,0.00149387508919503,"Mack Hollins","BUF","WR"
"46","00-0036900",1124,0.0162711085349086,0.0231749145770062,0.00147919168499169,"Ja'Marr Chase","CIN","WR"
"47","00-0034967",597,0.0162576561797758,0.0228282335078519,0.00147796874361598,"Rashan Gary","GB","DL"
"48","00-0035276",683,0.0162170884922438,0.02340910066206,0.00147428077202217,"Blake Cashman","MIN","LB"
"49","00-0033093",253,0.0161409343194478,0.0238681908290127,0.00146735766540434,"Jonathan Bullard","MIN","DL"
"50","00-0038412",1564,0.0160966262367823,0.022496562695074,0.0014633296578893,"Moro Ojomo","PHI","DL"
"51","00-0036212",860,0.0160752677833425,0.0236926699011368,0.00146138798030387,"Tua Tagovailoa","MIA","QB"
"52","00-0035668",754,0.0158446642159817,0.0227155075433287,0.0014404240196347,"David Edwards","BUF","OL"
"53","00-0039013",1792,0.0158392759124356,0.0228626324799708,0.00143993417385778,"Nolan Smith","PHI","LB"
