"","nfl_id","player_idx","apm","apm_sd","apm_per_play","full_name","team","position","season"
"1","00-0035719",981,0.0224326553969213,0.02027334866585,0.00203933230881103,"Deebo Samuel","SF","WR",2023
"2","00-0037840",1750,0.0222805563512995,0.0211899978882354,0.00202550512284541,"Kyren Williams","LA","RB",2023
"3","00-0027857",20,0.0218968892979566,0.0191535896601618,0.00199062629981424,"Trent Williams","SF","OL",2023
"4","00-0036358",1173,0.0198879138922765,0.0202236014978225,0.00180799217202514,"CeeDee Lamb","DAL","WR",2023
"5","00-0036261",1104,0.0198767840795645,0.0197778707040249,0.0018069803708695,"Brandon Aiyuk","SF","WR",2023
"6","00-0037829",1740,0.0186056242890821,0.0207592288242918,0.00169142038991656,"Spencer Burford","SF","OL",2023
"7","00-0032701",305,0.0185314976502359,0.0211827041024009,0.0016846816045669,"Jake Brendel","SF","OL",2023
"8","00-0031236",142,0.0179075437221453,0.0199625780355323,0.00162795852019502,"Brandin Cooks","DAL","WR",2023
"9","00-0028899",46,0.0178651035794617,0.0200023867930934,0.00162410032540561,"Rodney McLeod Jr.","CLE","DB",2023
"10","00-0036973",1432,0.0176085501936215,0.0203490891886572,0.00160077729032922,"Travis Etienne","JAX","RB",2023
"11","00-0035680",955,0.0171343130559432,0.0207345123458059,0.00155766482326757,"Quincy Williams","NYJ","LB",2023
"12","00-0035526",902,0.0164379555762492,0.020332072659778,0.00149435959784084,"Elgton Jenkins","GB","OL",2023
"13","00-0036621",1281,0.0162427367383505,0.0205686362465036,0.00147661243075914,"Nick Bolton","KC","LB",2023
"14","00-0037834",1745,0.0160431201670908,0.0203172160120728,0.00145846546973552,"Brock Purdy","SF","QB",2023
"15","00-0036256",1100,0.0160302757381203,0.0197140982350007,0.00145729779437457,"Colton McKivitz","SF","OL",2023
"16","00-0031687",198,0.0159946342010774,0.0206657748937455,0.0014540576546434,"Raheem Mostert","MIA","RB",2023
"17","00-0034764",689,0.0158847769766058,0.0201000973710827,0.00144407063423689,"Michael Gallup","DAL","WR",2023
"18","00-0033868",468,0.015831457675056,0.0192800465115691,0.00143922342500509,"Myles Garrett","CLE","DL",2023
"19","00-0036282",1119,0.0157832154201393,0.0215227008778484,0.00143483776546721,"Grant Delpit","CLE","DB",2023
"20","00-0035230",823,0.0156502808581694,0.0204959441533873,0.00142275280528812,"Ed Oliver","BUF","DL",2023
"21","00-0033288",386,0.0153975081450898,0.0194957959711592,0.00139977346773544,"George Kittle","SF","TE",2023
"22","00-0034746",680,0.0152392450479689,0.0207556115686402,0.00138538591345172,"Maurice Hurst","CLE","DL",2023
"23","00-0033553",426,0.0151691592353159,0.0213637456966847,0.00137901447593781,"James Conner","ARI","RB",2023
"24","00-0036613",1274,0.0150740700682294,0.0195218535837347,0.00137037000620268,"Jaylen Waddle","MIA","WR",2023
"25","00-0036130",1044,0.014674639887349,0.0205686517821634,0.00133405817157718,"Justin Madubuike","BAL","DL",2023
"26","00-0033066",352,0.0145179157649445,0.0203444819238483,0.00131981052408586,"Andrew Billings","CHI","DL",2023
"27","00-0032195",242,0.0144258053073563,0.0204286301535837,0.0013114368461233,"Ronald Darby","BAL","DB",2023
"28","00-0037155",1509,0.0143943962169698,0.0199583513936009,0.00130858147426998,"Tony Adams","NYJ","DB",2023
"29","00-0036556",1256,0.0143340767253724,0.0213080264542817,0.00130309788412476,"Brevin Jordan","HOU","TE",2023
"30","00-0036378",1188,0.0142045139230207,0.0205376169473568,0.00129131944754734,"Michael Danna","KC","DL",2023
"31","00-0034352",589,0.0141806608776848,0.0204853265400116,0.00128915098888043,"Connor Williams","MIA","OL",2023
"32","00-0034856",741,0.0140963398808754,0.0205874872715135,0.00128148544371594,"Denzel Ward","CLE","DB",2023
"33","00-0036987",1446,0.0139622731487517,0.0200107605225836,0.00126929755897742,"Brandon Stephens","BAL","DB",2023
"34","00-0031936",214,0.0138947365586177,0.0203827631378665,0.00126315786896524,"Mitch Morse","BUF","OL",2023
"35","00-0038996",2063,0.0137505228631497,0.0202197089606716,0.00125004753301361,"Tucker Kraft","GB","TE",2023
"36","00-0034345",583,0.013732730626203,0.0199980953911915,0.00124843005692755,"Frank Ragnow","DET","OL",2023
"37","00-0035693",964,0.0136823350802045,0.0208988110447583,0.00124384864365496,"Johnathan Abram","NO","DB",2023
"38","00-0034833",728,0.0136448073038687,0.0206623425990632,0.00124043702762443,"Isaiah Wynn","MIA","OL",2023
"39","00-0036376",1187,0.0136277126401975,0.0195715303231927,0.00123888296729069,"Tyler Biadasz","DAL","OL",2023
"40","00-0034184",551,0.0135248164661165,0.0218749167199765,0.00122952876964695,"Gus Edwards","BAL","RB",2023
"41","00-0035689",962,0.0133997634565829,0.0200866896167957,0.00121816031423481,"Dawson Knox","BUF","TE",2023
