"","season","team","coach","offense","defense","playoff_success","playoff_percentile"
"1",2015,"ARI","Bruce Arians","Harold Goodwin","James Bettcher",4,0.911764705882353
"2",2016,"ARI","Bruce Arians","Harold Goodwin","James Bettcher",1,0
"3",2017,"ARI","Bruce Arians","Harold Goodwin","James Bettcher",1,0
"4",2018,"ARI","Steve Wilks","Byron Leftwich, Mike McCoy","Al Holcomb",1,0
"5",2019,"ARI","Kliff Kingsbury","","Vance Joseph",1,0
"6",2020,"ARI","Kliff Kingsbury","","Vance Joseph",1,0
"7",2021,"ARI","Kliff Kingsbury","","Vance Joseph",2,0.575757575757576
"8",2022,"ARI","Kliff Kingsbury","","Vance Joseph",1,0
"9",2023,"ARI","Jonathan Gannon","Drew Petzing","Nick Rallis",1,0
"10",2024,"ARI","Jonathan Gannon","Drew Petzing","Nick Rallis",1,0
"11",2025,"ARI","Jonathan Gannon","Drew Petzing","Nick Rallis",1,0
"12",2015,"ATL","Dan Quinn","Kyle Shanahan","Richard Smith",1,0
"13",2016,"ATL","Dan Quinn","Kyle Shanahan","Richard Smith",5,0.970588235294118
"14",2017,"ATL","Dan Quinn","Steve Sarkisian","Marquand Manuel",3,0.78125
"15",2018,"ATL","Dan Quinn","Steve Sarkisian","Marquand Manuel",1,0
"16",2019,"ATL","Dan Quinn","Dirk Koetter","",1,0
"17",2020,"ATL","Raheem Morris","Dirk Koetter","Jeff Ulbrich",1,0
"18",2020,"ATL","Dan Quinn","Dirk Koetter","Raheem Morris, Jeff Ulbrich",1,0
"19",2021,"ATL","Arthur Smith","Dave Ragone","Dean Pees",1,0
"20",2022,"ATL","Arthur Smith","Dave Ragone","Dean Pees",1,0
"21",2023,"ATL","Arthur Smith","Dave Ragone","Ryan Nielsen",1,0
"22",2024,"ATL","Raheem Morris","Zac Robinson","Jimmy Lake",1,0
"23",2025,"ATL","Raheem Morris","Zac Robinson","Jeff Ulbrich",1,0
"24",2015,"BAL","John Harbaugh","Marc Trestman","Dean Pees",1,0
"25",2016,"BAL","John Harbaugh","Marty Mornhinweg, Marc Trestman","Dean Pees",1,0
"26",2017,"BAL","John Harbaugh","Marty Mornhinweg","Dean Pees",1,0
"27",2018,"BAL","John Harbaugh","Marty Mornhinweg","Don Martindale",2,0.666666666666667
"28",2019,"BAL","John Harbaugh","Greg Roman","Don Martindale",3,0.787878787878788
"29",2020,"BAL","John Harbaugh","Greg Roman","Don Martindale",3,0.794117647058823
"30",2021,"BAL","John Harbaugh","Greg Roman","Don Martindale",1,0
"31",2022,"BAL","John Harbaugh","Greg Roman","Mike Macdonald",2,0.617647058823529
"32",2023,"BAL","John Harbaugh","Todd Monken","Mike Macdonald",4,0.911764705882353
"33",2024,"BAL","John Harbaugh","Todd Monken","Zach Orr",3,0.794117647058823
"34",2025,"BAL","John Harbaugh","Todd Monken","Zach Orr",1,0
"35",2015,"BUF","Rex Ryan","Greg Roman","Dennis Thurman",1,0
"36",2016,"BUF","Anthony Lynn","Greg Roman","Dennis Thurman",1,0
"37",2016,"BUF","Rex Ryan","Anthony Lynn, Greg Roman","Dennis Thurman",1,0
"38",2017,"BUF","Sean McDermott","Rick Dennison","Leslie Frazier",2,0.65625
"39",2018,"BUF","Sean McDermott","Brian Daboll","Leslie Frazier",1,0
"40",2019,"BUF","Sean McDermott","Brian Daboll","Leslie Frazier",2,0.666666666666667
"41",2020,"BUF","Sean McDermott","Brian Daboll","Leslie Frazier",4,0.911764705882353
"42",2021,"BUF","Sean McDermott","Brian Daboll","Leslie Frazier",3,0.787878787878788
"43",2022,"BUF","Sean McDermott","Ken Dorsey","Leslie Frazier",3,0.794117647058823
"44",2023,"BUF","Sean McDermott","Joe Brady, Ken Dorsey","",3,0.794117647058823
"45",2024,"BUF","Sean McDermott","Joe Brady","Bobby Babich",4,0.911764705882353
"46",2025,"BUF","Sean McDermott","Joe Brady","Bobby Babich",3,0.787878787878788
"47",2015,"CAR","Ron Rivera","Mike Shula","Sean McDermott",5,0.970588235294118
"48",2016,"CAR","Ron Rivera","Mike Shula","Sean McDermott",1,0
"49",2017,"CAR","Ron Rivera","Mike Shula","Steve Wilks",2,0.65625
"50",2018,"CAR","Ron Rivera","Norv Turner","Eric Washington",1,0
"51",2019,"CAR","Perry Fewell","Norv Turner, Scott Turner","Eric Washington",1,0
"52",2019,"CAR","Ron Rivera","Norv Turner, Scott Turner","Eric Washington",1,0
"53",2020,"CAR","Matt Rhule","Joe Brady","Phil Snow",1,0
"54",2021,"CAR","Matt Rhule","Joe Brady, Jeff Nixon","Phil Snow",1,0
"55",2022,"CAR","Steve Wilks","Ben McAdoo","Al Holcomb, Phil Snow",1,0
"56",2022,"CAR","Matt Rhule","Ben McAdoo","Al Holcomb, Phil Snow",1,0
"57",2023,"CAR","Chris Tabor","Thomas Brown","Ejiro Evero",1,0
"58",2023,"CAR","Frank Reich","Thomas Brown","Ejiro Evero",1,0
"59",2024,"CAR","Dave Canales","Brad Idzik","Ejiro Evero",1,0
"60",2025,"CAR","Dave Canales","Brad Idzik","Ejiro Evero",2,0.606060606060606
"61",2015,"CHI","John Fox","Adam Gase","Vic Fangio",1,0
"62",2016,"CHI","John Fox","Dowell Loggains","Vic Fangio",1,0
"63",2017,"CHI","John Fox","Dowell Loggains","Vic Fangio",1,0
"64",2018,"CHI","Matt Nagy","Mark Helfrich","Vic Fangio",2,0.666666666666667
"65",2019,"CHI","Matt Nagy","Mark Helfrich","Chuck Pagano",1,0
"66",2020,"CHI","Matt Nagy","Bill Lazor","Chuck Pagano",2,0.617647058823529
"67",2021,"CHI","Matt Nagy","Bill Lazor","Sean Desai",1,0
"68",2022,"CHI","Matt Eberflus","Luke Getsy","Alan Williams",1,0
"69",2023,"CHI","Matt Eberflus","Luke Getsy","Alan Williams",1,0
"70",2024,"CHI","Thomas Brown","Chris Beatty, Shane Waldron","Eric Washington",1,0
"71",2024,"CHI","Matt Eberflus","Chris Beatty, Thomas Brown, Shane Waldron","Eric Washington",1,0
"72",2025,"CHI","Ben Johnson","Declan Doyle","Dennis Allen",3,0.787878787878788
"73",2015,"CIN","Marvin Lewis","Hue Jackson","Paul Guenther",2,0.676470588235294
"74",2016,"CIN","Marvin Lewis","Ken Zampese","Paul Guenther",1,0
"75",2017,"CIN","Marvin Lewis","Bill Lazor, Ken Zampese","Paul Guenther",1,0
"76",2018,"CIN","Marvin Lewis","Bill Lazor","Teryl Austin",1,0
"77",2019,"CIN","Zac Taylor","Brian Callahan","Lou Anarumo",1,0
"78",2020,"CIN","Zac Taylor","Brian Callahan","Lou Anarumo",1,0
"79",2021,"CIN","Zac Taylor","Brian Callahan","Lou Anarumo",5,0.96969696969697
"80",2022,"CIN","Zac Taylor","Brian Callahan","Lou Anarumo",4,0.911764705882353
"81",2023,"CIN","Zac Taylor","Brian Callahan","Lou Anarumo",1,0
"82",2024,"CIN","Zac Taylor","Dan Pitcher","Lou Anarumo",1,0
"83",2025,"CIN","Zac Taylor","Dan Pitcher","Al Golden",1,0
"84",2015,"CLE","Mike Pettine","John DeFilippo","Jim O'Neil",1,0
"85",2016,"CLE","Hue Jackson","","Ray Horton",1,0
"86",2017,"CLE","Hue Jackson","","Gregg Williams",1,0
"87",2018,"CLE","Gregg Williams","Todd Haley, Freddie Kitchens","",1,0
"88",2018,"CLE","Hue Jackson","Todd Haley, Freddie Kitchens","Gregg Williams",1,0
"89",2019,"CLE","Freddie Kitchens","Todd Monken","Steve Wilks",1,0
"90",2020,"CLE","Kevin Stefanski","Alex Van Pelt","Joe Woods",3,0.794117647058823
"91",2021,"CLE","Kevin Stefanski","Alex Van Pelt","Joe Woods",1,0
"92",2022,"CLE","Kevin Stefanski","Alex Van Pelt","Joe Woods",1,0
"93",2023,"CLE","Kevin Stefanski","Alex Van Pelt","Jim Schwartz",2,0.617647058823529
"94",2024,"CLE","Kevin Stefanski","Ken Dorsey","Jim Schwartz",1,0
"95",2025,"CLE","Kevin Stefanski","Tommy Rees","Jim Schwartz",1,0
"96",2015,"DAL","Jason Garrett","Scott Linehan","Rod Marinelli",1,0
"97",2016,"DAL","Jason Garrett","Scott Linehan","Rod Marinelli",3,0.794117647058823
"98",2017,"DAL","Jason Garrett","Scott Linehan","Rod Marinelli",1,0
"99",2018,"DAL","Jason Garrett","Scott Linehan","Rod Marinelli",3,0.787878787878788
"100",2019,"DAL","Jason Garrett","Kellen Moore","Rod Marinelli",1,0
