"","season","team","coach","offense","defense","win_pct","win_percentile"
"1",2015,"ARI","Bruce Arians","Harold Goodwin","James Bettcher",0.8125,0.970588235294118
"2",2016,"ARI","Bruce Arians","Harold Goodwin","James Bettcher",0.4375,0.323529411764706
"3",2017,"ARI","Bruce Arians","Harold Goodwin","James Bettcher",0.5,0.46875
"4",2018,"ARI","Steve Wilks","Byron Leftwich, Mike McCoy","Al Holcomb",0.1875,0
"5",2019,"ARI","Kliff Kingsbury","","Vance Joseph",0.3125,0.151515151515152
"6",2020,"ARI","Kliff Kingsbury","","Vance Joseph",0.5,0.558823529411765
"7",2021,"ARI","Kliff Kingsbury","","Vance Joseph",0.647058823529412,0.787878787878788
"8",2022,"ARI","Kliff Kingsbury","","Vance Joseph",0.235294117647059,0.0588235294117647
"9",2023,"ARI","Jonathan Gannon","Drew Petzing","Nick Rallis",0.235294117647059,0.0588235294117647
"10",2024,"ARI","Jonathan Gannon","Drew Petzing","Nick Rallis",0.470588235294118,0.441176470588235
"11",2025,"ARI","Jonathan Gannon","Drew Petzing","Nick Rallis",0.176470588235294,0
"12",2015,"ATL","Dan Quinn","Kyle Shanahan","Richard Smith",0.5,0.558823529411765
"13",2016,"ATL","Dan Quinn","Kyle Shanahan","Richard Smith",0.6875,0.823529411764706
"14",2017,"ATL","Dan Quinn","Steve Sarkisian","Marquand Manuel",0.625,0.71875
"15",2018,"ATL","Dan Quinn","Steve Sarkisian","Marquand Manuel",0.4375,0.393939393939394
"16",2019,"ATL","Dan Quinn","Dirk Koetter","",0.4375,0.363636363636364
"17",2020,"ATL","Raheem Morris","Dirk Koetter","Jeff Ulbrich",0.25,0.0588235294117647
"18",2020,"ATL","Dan Quinn","Dirk Koetter","Raheem Morris, Jeff Ulbrich",0.25,0.0588235294117647
"19",2021,"ATL","Arthur Smith","Dave Ragone","Dean Pees",0.411764705882353,0.242424242424242
"20",2022,"ATL","Arthur Smith","Dave Ragone","Dean Pees",0.411764705882353,0.264705882352941
"21",2023,"ATL","Arthur Smith","Dave Ragone","Ryan Nielsen",0.411764705882353,0.264705882352941
