"","season","team","coach","offense","defense","reg_wins","reg_losses","reg_ties","home_wins","home_losses","home_ties","away_wins","away_losses","away_ties","neutral_wins","neutral_losses","neutral_ties","one_score_wins","one_score_losses","div_wins","div_losses","div_ties","rest_adv_wins","rest_adv_losses","rest_adv_ties","rest_disadv_wins","rest_disadv_losses","rest_disadv_ties","ot_wins","ot_losses","ot_ties","playoff_wins","playoff_losses","round_reached","made_playoffs","won_sb"
"1",2015,"ARI","Bruce Arians","Harold Goodwin","James Bettcher",13,3,0,6,2,0,7,1,0,0,0,0,5,1,4,2,0,1,0,0,0,0,0,0,0,0,1,1,"CON",TRUE,FALSE
"2",2016,"ARI","Bruce Arians","Harold Goodwin","James Bettcher",7,8,1,4,3,1,3,5,0,0,0,0,3,5,4,1,1,2,0,0,2,3,1,0,0,1,0,0,"REG",FALSE,FALSE
"3",2017,"ARI","Bruce Arians","Harold Goodwin","James Bettcher",8,8,0,5,3,0,3,4,0,0,1,0,6,2,3,3,0,1,1,0,2,0,0,2,0,0,0,0,"REG",FALSE,FALSE
"4",2018,"ARI","Steve Wilks","Byron Leftwich, Mike McCoy","Al Holcomb",3,13,0,1,7,0,2,6,0,0,0,0,2,4,2,4,0,1,1,0,0,0,0,0,0,0,0,0,"REG",FALSE,FALSE
"5",2019,"ARI","Kliff Kingsbury","","Vance Joseph",5,10,1,2,5,1,3,5,0,0,0,0,3,5,1,5,0,0,2,0,1,1,1,0,0,1,0,0,"REG",FALSE,FALSE
"6",2020,"ARI","Kliff Kingsbury","","Vance Joseph",8,8,0,4,4,0,4,4,0,0,0,0,4,5,2,4,0,0,2,0,2,0,0,1,0,0,0,0,"REG",FALSE,FALSE
"7",2021,"ARI","Kliff Kingsbury","","Vance Joseph",11,6,0,3,5,0,8,1,0,0,0,0,3,4,4,2,0,2,0,0,0,0,0,0,0,0,0,1,"WC",TRUE,FALSE
"8",2022,"ARI","Kliff Kingsbury","","Vance Joseph",4,13,0,1,7,0,3,5,0,0,1,0,2,6,1,5,0,0,1,0,0,1,0,1,1,0,0,0,"REG",FALSE,FALSE
"9",2023,"ARI","Jonathan Gannon","Drew Petzing","Nick Rallis",4,13,0,2,6,0,2,7,0,0,0,0,2,5,0,6,0,0,1,0,0,1,0,0,0,0,0,0,"REG",FALSE,FALSE
"10",2024,"ARI","Jonathan Gannon","Drew Petzing","Nick Rallis",8,9,0,6,3,0,2,6,0,0,0,0,3,5,3,3,0,1,1,0,2,0,0,0,1,0,0,0,"REG",FALSE,FALSE
"11",2025,"ARI","Jonathan Gannon","Drew Petzing","Nick Rallis",3,14,0,1,7,0,2,7,0,0,0,0,2,8,0,6,0,1,1,0,0,1,0,0,1,0,0,0,"REG",FALSE,FALSE
"12",2015,"ATL","Dan Quinn","Kyle Shanahan","Richard Smith",8,8,0,4,4,0,4,4,0,0,0,0,6,5,1,5,0,1,0,0,0,0,0,1,1,0,0,0,"REG",FALSE,FALSE
"13",2016,"ATL","Dan Quinn","Kyle Shanahan","Richard Smith",11,5,0,5,3,0,6,2,0,0,0,0,4,4,5,1,0,1,1,0,1,2,0,0,1,0,2,1,"SB",TRUE,FALSE
"14",2017,"ATL","Dan Quinn","Steve Sarkisian","Marquand Manuel",10,6,0,5,3,0,5,3,0,0,0,0,6,4,4,2,0,1,1,0,1,1,0,0,0,0,1,1,"DIV",TRUE,FALSE
"15",2018,"ATL","Dan Quinn","Steve Sarkisian","Marquand Manuel",7,9,0,4,4,0,3,5,0,0,0,0,4,4,4,2,0,2,1,0,2,0,0,0,1,0,0,0,"REG",FALSE,FALSE
"16",2019,"ATL","Dan Quinn","Dirk Koetter","",7,9,0,3,5,0,4,4,0,0,0,0,3,4,4,2,0,1,0,0,0,1,0,1,0,0,0,0,"REG",FALSE,FALSE
"17",2020,"ATL","Raheem Morris","Dirk Koetter","Jeff Ulbrich",4,12,0,2,6,0,2,6,0,0,0,0,2,8,1,5,0,1,1,0,0,0,0,0,0,0,0,0,"REG",FALSE,FALSE
"18",2020,"ATL","Dan Quinn","Dirk Koetter","Raheem Morris, Jeff Ulbrich",4,12,0,2,6,0,2,6,0,0,0,0,2,8,1,5,0,1,1,0,0,0,0,0,0,0,0,0,"REG",FALSE,FALSE
"19",2021,"ATL","Arthur Smith","Dave Ragone","Dean Pees",7,10,0,1,6,0,5,4,0,1,0,0,7,2,2,4,0,2,0,0,2,1,0,0,0,0,0,0,"REG",FALSE,FALSE
"20",2022,"ATL","Arthur Smith","Dave Ragone","Dean Pees",7,10,0,6,3,0,1,7,0,0,0,0,5,8,2,4,0,1,0,0,1,2,0,1,0,0,0,0,"REG",FALSE,FALSE
"21",2023,"ATL","Arthur Smith","Dave Ragone","Ryan Nielsen",7,10,0,5,3,0,2,6,0,0,1,0,4,6,3,3,0,0,0,0,1,2,0,0,0,0,0,0,"REG",FALSE,FALSE
"22",2024,"ATL","Raheem Morris","Zac Robinson","Jimmy Lake",8,9,0,4,5,0,4,4,0,0,0,0,6,6,4,2,0,1,1,0,1,1,0,1,2,0,0,0,"REG",FALSE,FALSE
"23",2025,"ATL","Raheem Morris","Zac Robinson","Jeff Ulbrich",8,9,0,4,4,0,4,4,0,0,1,0,5,5,3,3,0,2,0,0,2,0,0,0,2,0,0,0,"REG",FALSE,FALSE
"24",2015,"BAL","John Harbaugh","Marc Trestman","Dean Pees",5,11,0,3,5,0,2,6,0,0,0,0,5,9,3,3,0,0,2,0,1,0,0,1,1,0,0,0,"REG",FALSE,FALSE
"25",2016,"BAL","John Harbaugh","Marty Mornhinweg, Marc Trestman","Dean Pees",8,8,0,6,2,0,2,6,0,0,0,0,6,6,4,2,0,0,1,0,0,0,0,0,0,0,0,0,"REG",FALSE,FALSE
"26",2017,"BAL","John Harbaugh","Marty Mornhinweg","Dean Pees",9,7,0,5,3,0,4,3,0,0,1,0,2,5,3,3,0,1,0,0,2,1,0,0,1,0,0,0,"REG",FALSE,FALSE
"27",2018,"BAL","John Harbaugh","Marty Mornhinweg","Don Martindale",10,6,0,6,2,0,4,4,0,0,0,0,3,4,3,3,0,2,0,0,2,1,0,0,2,0,0,1,"WC",TRUE,FALSE
"28",2019,"BAL","John Harbaugh","Greg Roman","Don Martindale",14,2,0,7,1,0,7,1,0,0,0,0,5,1,5,1,0,2,0,0,3,0,0,1,0,0,0,1,"DIV",TRUE,FALSE
"29",2020,"BAL","John Harbaugh","Greg Roman","Don Martindale",11,5,0,5,3,0,6,2,0,0,0,0,2,4,4,2,0,0,1,0,3,1,0,0,1,0,1,1,"DIV",TRUE,FALSE
"30",2021,"BAL","John Harbaugh","Greg Roman","Don Martindale",8,9,0,5,4,0,3,5,0,0,0,0,6,6,1,5,0,1,0,0,1,1,0,2,2,0,0,0,"REG",FALSE,FALSE
"31",2022,"BAL","John Harbaugh","Greg Roman","Mike Macdonald",10,7,0,5,3,0,5,4,0,0,0,0,6,5,3,3,0,2,0,0,1,1,0,0,0,0,0,1,"WC",TRUE,FALSE
"32",2023,"BAL","John Harbaugh","Todd Monken","Mike Macdonald",13,4,0,6,3,0,6,1,0,1,0,0,4,4,3,3,0,2,0,0,0,0,0,1,1,0,1,1,"CON",TRUE,FALSE
