"","rank","coach_name","seasons","n_teams","teams","total_score"
"1",1,"Andy Reid",9,1,"KC",59.9653836771621
"2",2,"Sean Payton",8,2,"DEN, NO",48.6028500614721
"3",3,"Sean McDermott",9,1,"BUF",53.6828732157569
"4",4,"Jim Harbaugh",2,1,"LAC",11.78830209426
"5",5,"Sean McVay",9,1,"LAR",49.5185228135811
"6",6,"Bruce Arians",4,2,"ARI, TB",21.7662343527921
"7",7,"Dan Campbell",5,1,"DET",27.1759632696269
"8",8,"John Harbaugh",9,1,"BAL",47.78926327667
"9",9,"Mike Tomlin",9,1,"PIT",47.2112215686872
"10",10,"Rich Bisaccia",1,1,"LV",5.21726907779399
"11",11,"Joe Philbin",1,1,"GB",5.09397944141029
"12",12,"Jim Caldwell",1,1,"DET",5.03585372408448
"13",13,"Mike Mularkey",1,1,"TEN",5.01975752226399
"14",14,"Mike McCarthy",7,2,"DAL, GB",34.5521398736554
"15",15,"Matt LaFleur",9,3,"GB, LAR, TEN",43.9862611031702
"16",16,"Kyle Shanahan",9,1,"SF",43.5096367630531
"17",17,"DeMeco Ryans",5,2,"HOU, SF",24.008662520399
"18",18,"Bill Belichick",7,1,"NE",33.3228505610654
"19",19,"Nick Sirianni",8,2,"IND, PHI",37.5074768738914
"20",20,"Doug Pederson",7,2,"JAX, PHI",32.1524233006646
"21",21,"Mike Macdonald",4,2,"BAL, SEA",18.1011557557375
"22",22,"Pete Carroll",8,2,"LV, SEA",35.558999306143
"23",23,"Mike Vrabel",8,3,"HOU, NE, TEN",35.1455074656003
"24",24,"Mike McDaniel",5,2,"MIA, SF",21.436849254053
"25",25,"Mike Zimmer",6,2,"DAL, MIN",25.4774001045795
"26",26,"Bo Hardegree",1,1,"LV",4.20999476038004
"27",27,"Jon Gruden",4,1,"LV",16.6061356327115
"28",28,"Ben Johnson",4,2,"CHI, DET",16.2157543182133
"29",29,"Dan Quinn",9,3,"ATL, DAL, WSH",35.3301846377688
"30",30,"Kevin O'Connell",7,3,"LAR, MIN, WSH",27.2055301722538
"31",31,"Terrell Williams",1,1,"NE",3.87608596169292
"32",32,"Todd Bowles",9,2,"NYJ, TB",34.3557272681508
"33",33,"Zac Taylor",7,1,"CIN",26.5620257189494
"34",34,"Bobby Babich",2,1,"BUF",7.44740306759833
"35",35,"Matt Nagy",8,2,"CHI, KC",29.1929918321791
"36",36,"Jason Garrett",5,2,"DAL, NYG",18.2075660963254
"37",37,"Mike Pettine",3,1,"GB",10.6858888282991
"38",38,"Liam Coen",3,3,"JAX, LAR, TB",10.544357174983
"39",39,"Dave Canales",3,2,"CAR, TB",10.4804796155118
"40",40,"Frank Reich",7,3,"CAR, IND, PHI",24.3156980444036
"41",41,"Kevin Stefanski",7,2,"CLE, MIN",24.2486951796285
"42",42,"Nick Caley",1,1,"HOU",3.399946014479
"43",43,"Todd Haley",2,2,"CLE, PIT",6.79470140766776
"44",44,"Raheem Morris",6,2,"ATL, LAR",19.5909393849943
"45",45,"Ron Rivera",7,2,"CAR, WSH",22.8201494565036
"46",46,"Brian Flores",6,2,"MIA, MIN",19.3988596822847
"47",47,"Brian Schottenheimer",6,2,"DAL, SEA",19.1635482203392
"48",48,"Antonio Pierce",2,1,"LV",6.37129595909841
"49",49,"Anthony Campanile",1,1,"JAX",3.1851393027385
"50",50,"Grant Udinski",1,1,"JAX",3.1851393027385
