"","season","team","wp_total","wp_percentile","coach","offense","defense"
"1",2015,"ARI",-0.216957325288818,0.538423401090729,"Bruce Arians","Harold Goodwin","James Bettcher"
"2",2016,"ARI",-0.480177247423768,0.555774439793154,"Bruce Arians","Harold Goodwin","James Bettcher"
"3",2017,"ARI",-1.08809192093266,0.1886932804364,"Bruce Arians","Harold Goodwin","James Bettcher"
"4",2018,"ARI",-0.661353860927196,0.336684649337911,"Steve Wilks","Byron Leftwich, Mike McCoy","Al Holcomb"
"5",2019,"ARI",0.673394185818325,0.881380651434127,"Kliff Kingsbury","","Vance Joseph"
"6",2020,"ARI",-0.702169297319617,0.314002828854314,"Kliff Kingsbury","","Vance Joseph"
"7",2021,"ARI",-0.526745481360166,0.11415220293725,"Kliff Kingsbury","","Vance Joseph"
"8",2022,"ARI",-0.376362524784204,0.404659579280706,"Kliff Kingsbury","","Vance Joseph"
"9",2023,"ARI",0.0414483027065668,0.633401686033265,"Jonathan Gannon","Drew Petzing","Nick Rallis"
"10",2024,"ARI",0.486778482939697,0.846378111684234,"Jonathan Gannon","Drew Petzing","Nick Rallis"
"11",2025,"ARI",-0.599748113076201,0.214893128016548,"Jonathan Gannon","Drew Petzing","Nick Rallis"
"12",2015,"ATL",0.267847202472691,0.761279127416956,"Dan Quinn","Kyle Shanahan","Richard Smith"
"13",2016,"ATL",-0.78619570193023,0.214232947549865,"Dan Quinn","Kyle Shanahan","Richard Smith"
"14",2017,"ATL",-1.97814993732875,0,"Dan Quinn","Steve Sarkisian","Marquand Manuel"
"15",2018,"ATL",-0.179538204003618,0.528200098087298,"Dan Quinn","Steve Sarkisian","Marquand Manuel"
"16",2019,"ATL",0.105011568281787,0.652892561983471,"Dan Quinn","Dirk Koetter",""
"17",2020,"ATL",-1.1208148948788,0,"Raheem Morris","Dirk Koetter","Jeff Ulbrich"
"18",2020,"ATL",-1.1208148948788,0,"Dan Quinn","Dirk Koetter","Raheem Morris, Jeff Ulbrich"
"19",2021,"ATL",1.36471893236636,0.971295060080107,"Arthur Smith","Dave Ragone","Dean Pees"
"20",2022,"ATL",-1.15240697609069,0.176656864962678,"Arthur Smith","Dave Ragone","Dean Pees"
"21",2023,"ATL",0.0474020554102038,0.698564593301435,"Arthur Smith","Dave Ragone","Ryan Nielsen"
"22",2024,"ATL",-0.629394015995783,0.316887194438215,"Raheem Morris","Zac Robinson","Jimmy Lake"
"23",2025,"ATL",0.801689188367164,0.777292576419214,"Raheem Morris","Zac Robinson","Jeff Ulbrich"
"24",2015,"BAL",-1.6984557626533,0,"John Harbaugh","Marc Trestman","Dean Pees"
"25",2016,"BAL",-0.740294834133236,0.243536074858409,"John Harbaugh","Marty Mornhinweg, Marc Trestman","Dean Pees"
"26",2017,"BAL",-0.414332031126614,0.432184478056038,"John Harbaugh","Marty Mornhinweg","Dean Pees"
"27",2018,"BAL",-0.667441767114033,0.300637567435017,"John Harbaugh","Marty Mornhinweg","Don Martindale"
"28",2019,"BAL",0.22808797189155,0.719980554205153,"John Harbaugh","Greg Roman","Don Martindale"
"29",2020,"BAL",0.239202105137751,0.670909948137671,"John Harbaugh","Greg Roman","Don Martindale"
"30",2021,"BAL",0.0241984065556745,0.424121050289275,"John Harbaugh","Greg Roman","Don Martindale"
"31",2022,"BAL",-0.0774276695260391,0.573399683329563,"John Harbaugh","Greg Roman","Mike Macdonald"
"32",2023,"BAL",0.0520605220808628,0.730006835269993,"John Harbaugh","Todd Monken","Mike Macdonald"
"33",2024,"BAL",0.146000613596211,0.649472976003588,"John Harbaugh","Todd Monken","Zach Orr"
"34",2025,"BAL",-1.36186135908099,0,"John Harbaugh","Todd Monken","Zach Orr"
"35",2015,"BUF",-1.31486270403908,0.144769459593456,"Rex Ryan","Greg Roman","Dennis Thurman"
"36",2016,"BUF",-0.511007499240802,0.466387589263728,"Anthony Lynn","Greg Roman","Dennis Thurman"
"37",2016,"BUF",-0.511007499240802,0.466387589263728,"Rex Ryan","Anthony Lynn, Greg Roman","Dennis Thurman"
"38",2017,"BUF",-0.0503843276481656,0.571534837589883,"Sean McDermott","Rick Dennison","Leslie Frazier"
"39",2018,"BUF",-0.694627080957342,0.24717999019127,"Sean McDermott","Brian Daboll","Leslie Frazier"
"40",2019,"BUF",-0.564445107334753,0.218765192027224,"Sean McDermott","Brian Daboll","Leslie Frazier"
"41",2020,"BUF",0.908767479718351,0.85007072135785,"Sean McDermott","Brian Daboll","Leslie Frazier"
